year,type,country,activity,sex,fatal,species,especies
2015,Unprovoked,usa,Surfing,M,N,unknown,
2015,Unprovoked,usa,Swimming,F,N,unknown,
2015,Unprovoked,usa,Surfing,M,N,"spinner shark, ",
2015,Unprovoked,australia,Surfing,M,N,"bull shark, to m",bull shark
2015,Invalid,usa,Surfing,F,Unknown,shark involvement not confirmed,
2015,Unprovoked,usa,Swimming,M,N,unknown,
2015,Unprovoked,usa,Wading,F,N, to  shark,
2015,Unprovoked,mozambique,Fishing,M,N,unknown,
2015,Unprovoked,australia,Spearfishing,M,N,unknown,
2015,Unprovoked,usa,Body boarding,M,N,unknown,
2015,Unprovoked,south africa,Surfing,M,N,"white shark, to  ",white shark
2015,Unprovoked,usa,Surfing,M,N, shark,
2015,Unprovoked,usa,Surfing,M,N,"spinner shark, ",
2015,Unprovoked,mozambique,Fishing for shrimp,F,Y,unknown,
2015,Invalid,usa,Surfing,M,Unknown,no shark involvement,
2015,Unprovoked,usa,Swimming,M,N,"tiger shark, ",tiger shark
2015,Boat,usa,Kayak Fishing,M,N,hammerhead sp.,
2015,Unprovoked,usa,Boogie boarding,F,N,unknown,
2015,Unprovoked,usa,Surfing,M,N,"tiger shark,  ",tiger shark
2015,Unprovoked,mozambique,Fishing,M,N,unknown,
2015,Unprovoked,australia,Surfing,M,N,unknown,
2015,Unprovoked,usa,Body boarding,M,N,unknown,
2015,Unprovoked,usa,Wading,M,N, to  shark,
2015,Unprovoked,usa,Surfing,M,N,"blacktip shark,  to ",blacktip shark
2015,Unprovoked,usa,Surfing,M,N,"blacktip shark,  to ",blacktip shark
2015,Unprovoked,australia,Snorkeling,F,N,unknown,
2015,Boat,usa,Kayak fishing,M,N,"white shark, ",white shark
2015,Unprovoked,usa,Surfing,M,N,juvenile shark,
2015,Unprovoked,usa,Spearfishing,M,N,"tiger shark, ",tiger shark
2015,Unprovoked,usa,Wading,M,N, shark,
2015,Unprovoked,usa,Photographing fish,M,N,unknown,
2015,Boat,usa,Kayak Fishing,M,N,hammerhead shark,hammerhead shark
2015,Unprovoked,usa,Swimming,M,N,unknown,
2015,Unprovoked,usa,Surfing,M,N,unknown,
2015,Unprovoked,australia,Surfing,M,N, shark,
2015,Unprovoked,usa,Stand-Up Paddleboarding,F,N,"white shark,  to ",white shark
2015,Provoked,usa,Kayak Fishing,M,N,hammerhead shark.,hammerhead shark
2015,Unprovoked,australia,Surf-skiing,M,N,"white shark, m",white shark
2015,Unprovoked,usa,Unknown,M,N, shark?,
2015,Unprovoked,thailand,Wading,F,N,small shark,
2015,Unprovoked,fiji,Spearfishing,M,N,tiger shark,tiger shark
2015,Unprovoked,usa,Surfing,F,N,"white shark,  to ",white shark
2015,Unprovoked,usa,Surfing,M,N,"white shark,  to  ",white shark
2015,Invalid,usa,Unknown,M,Unknown,shark involvement not confirmed,
2015,Unprovoked,australia,Surfing,M,N,unknown,
2015,Unprovoked,usa,Surfing,M,N, shark,
2015,Unprovoked,usa,Walking,F,N, shark,
2015,Boat,usa,Kayak Fishing,M,N,"white shark, ",white shark
2015,Invalid,spain,Swimming,M,Unknown,shark involvement not confirmed,
2015,Provoked,usa,Spearfishing,M,N,hammerhead shark.  to ,hammerhead shark
2015,Unprovoked,australia,Surfing,M,N,white shark,white shark
2015,Unprovoked,costa rica,Surfing,M,N,unknown,
2015,Unknown,australia,Surfing,M,Unknown,unknown,
2015,Unprovoked,usa,Surfing,M,N,"blacktip or spinner shark, ",
2015,Invalid,usa,Floating,F,Unknown,"thought to involve a  to  shark, but shark involvement not confirmed",
2015,Unprovoked,australia,Scallop diving on hookah,M,Y,"white shark, to m",white shark
2015,Provoked,usa,Kayak Fishing,M,N,"mako shark, lb",mako shark
2015,Unprovoked,australia,Surfing,M,N,"bronze whaler shark, ",
2015,Unprovoked,reunion,Surfing,M,N,"bull shark, ",bull shark
2015,Unprovoked,south africa,Surfing,M,N,white shark,white shark
2015,Unprovoked,usa,Surfing,M,N,"white shark, ",white shark
2015,Invalid,usa,Treading water,M,Unknown,shark involvement not cofirmed,
2015,Invalid,french polynesia,Swimming,M,Unknown,no shark involvement,
2015,Unprovoked,bahamas,Spearfishing,F,N, shark,
2015,Unprovoked,usa,Unknown,M,N,unknown,
2015,Unprovoked,australia,Surfing,M,N,white shark,white shark
2015,Unprovoked,australia,Body boarding ,M,N,white shark,white shark
2015,Unprovoked,usa,Swimming,M,N, to  shark,
